date,qis_composite,qis_momentum,qis_value,qis_carry,qis_low_vol
2006-01-02,-0.0010766320320545807,0.005656535942602477,-0.008690614637697883,0.0007315576706700205,-0.0020040071037929364
2006-01-03,0.0007597672692153394,-0.003910896884990408,0.0039081753241349,0.0012157312249437239,0.0018260594127731413
2006-01-04,-0.0010551905370272468,0.0016006912509538055,-0.0004393156593894491,-0.004205867537476426,-0.0011762702021969184
2006-01-05,0.00044094787306475387,0.000972389855581619,0.003049768552385591,-0.005763507550790292,0.0035051406350820975
2006-01-06,0.0032629818052031345,0.00493920219455445,0.010601196884845716,-0.0014622581266480507,-0.001026213731939578
2006-01-09,0.0004087554376387008,0.0059125462611447415,-0.0020566241431111626,-0.00018699261492850382,-0.002033907752550272
2006-01-10,-0.0008980202198832057,0.004610089739023825,-0.013096533329266314,0.004884159522391959,1.020318831770851e-05
2006-01-11,-0.002697163874794368,-0.013028496829570437,0.002886142789117558,0.004265936749347293,-0.004912238208071885
2006-01-12,0.0023784110243387567,0.007760521495740672,0.001104733979241553,0.0010134491262525733,-0.00036506050387977173
2006-01-13,0.0032102119861597152,0.009859232706101402,-0.0039938929897958275,0.005448196163042377,0.0015273120652909093
2006-01-16,-0.0002257717171971162,-0.002799002279380012,0.002411018576542452,-0.003961970292536515,0.00344686712658561
2006-01-17,0.003098257015885863,0.0017288306653894764,0.004615477379171302,0.0049490218350376845,0.0010996981839449882
2006-01-18,-0.004781176458168616,-0.005373616870580687,-0.005208043579146132,-0.003287050313742639,-0.005255995069205006
2006-01-19,-0.0006626025539931552,-0.012035535687230139,-0.0015496609142131251,0.005664951745474484,0.0052698346399961595
2006-01-20,0.0024605556794955403,-0.004415373529314752,0.008531136837731568,0.00013956032064060635,0.005586899088924739
2006-01-23,-0.003781488223773436,-0.003164460885280989,-0.0039324831095664025,-0.008613203292141672,0.0005841943918953223
2006-01-24,-0.000181445246255932,-0.0019972542564435586,0.0005367121432895398,0.0034181031551116844,-0.0026833420269813937
2006-01-25,-0.004651300287140357,-0.005802495740075361,-0.014720282591269465,0.003768173956022646,-0.0018505967732392497
2006-01-26,-0.0037625053716400392,-0.004382049039701133,-0.00824254414972913,-0.0018149160978691485,-0.0006105121992607453
2006-01-27,0.00024846052855315013,0.00016876192886105184,0.0010517704267670187,-0.0014386881620560633,0.0012119979206405933
2006-01-30,0.00025241401470066615,-0.004613878691383292,0.0071207666384068115,-0.0005051158573020642,-0.000992116030918791
2006-01-31,-0.0038194135545123074,0.003661976703427959,-0.007563252305976345,-0.00829070885534452,-0.0030856697601563217
2006-02-01,-0.00027252298946067407,0.004532153719371233,0.0005814686550620021,-0.010229058408717052,0.004025344076441121
2006-02-02,0.0050827400201990955,0.015233128572039963,-0.0019713901637040936,0.005938042262743968,0.0011311794097165438
2006-02-03,0.0014092993595234363,0.007329212276797021,0.005562231525279567,-0.0034353841540164225,-0.0038188622099664202
